StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Last Seen Flow Element ID,Last Seen Question IDs,CONSENT,SCR_AGE,SCR1,VIG_TIME_First Click,VIG_TIME_Last Click,VIG_TIME_Page Submit,VIG_TIME_Click Count,VIG_TIME_First Click.1,VIG_TIME_Last Click.1,VIG_TIME_Page Submit.1,VIG_TIME_Click Count.1,VIG_TIME_First Click.2,VIG_TIME_Last Click.2,VIG_TIME_Page Submit.2,VIG_TIME_Click Count.2,VIG_TIME_First Click.3,VIG_TIME_Last Click.3,VIG_TIME_Page Submit.3,VIG_TIME_Click Count.3,CC1,CC2,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,REL1,REL2,REL3,REL4,INT1,INT2,INT3,INT4,INT5,ATT1,TRU1,TRU2,TRU3,TRU4,TRU5,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ATT2,PI1,PI2,PI3,PDPL1,PDPL2,PDPL3,PDPL4,MC_AIP,MC_DISC,AGE_BAND,GEN,EDU,INC,FREQ,PLAT,PLAT_5_TEXT,PRIOR,CHAN,CELL,AIP_COND,DISC_COND
2026-08-19 05:36:29,2026-08-19 05:42:54,0,,100,385,1,2026-08-19 05:42:55,R_4WHSu8Z0Ho4mxbz,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,24.124,24.124,24.128,1,,,,,,,,,,,,,1,2,5,5,6,6,5,6,6,5,5,6,4,3,5,6,4,5,5,2,4,2,2,5,6,5,5,5,6,2,5,4,4,5,6,6,6,5,2,1,2,3,3,3,3,,3,"1,3",1,0,0
2026-08-19 05:53:16,2026-08-19 05:57:51,0,,100,275,1,2026-08-19 05:57:52,R_9DYsbccrqXJJNiJ,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,39.79,39.79,39.791,1,2,1,6,6,6,5,5,5,6,5,6,6,3,3,3,2,3,5,5,5,5,6,5,5,6,6,6,5,6,2,5,5,6,5,5,7,6,6,7,1,1,3,2,4,1,,4,"1,3",4,1,1
2026-08-19 06:35:38,2026-08-19 06:47:20,0,,100,701,1,2026-08-19 06:47:20,R_9qUK7fNxpgyCc2X,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,35.607,38.448,38.454,2,2,1,6,6,7,6,6,6,6,6,7,7,2,1,2,2,3,5,5,7,6,6,7,7,6,5,2,5,5,2,5,4,6,7,7,7,7,6,6,1,2,3,1,3,1,,4,1,4,1,1
2026-08-19 07:26:51,2026-08-19 07:40:03,0,,100,791,1,2026-08-19 07:40:04,R_98UhCrNz3rbSOoF,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,16.112,16.112,16.124,1,,,,,,,,,,,,,1,2,3,6,6,3,6,6,3,5,5,6,5,5,6,6,5,6,5,6,5,4,5,5,4,5,5,4,5,2,5,4,4,7,6,7,6,5,6,4,1,4,3,4,5,,4,"1,2",1,0,0
2026-08-19 07:46:57,2026-08-19 07:54:20,0,,100,442,1,2026-08-19 07:54:20,R_92rjbBjqghEvpgk,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,18.492,18.492,18.496,1,,,,,,,,,1,1,6,2,2,2,5,6,3,4,4,5,4,5,3,3,2,5,4,5,5,5,6,6,5,6,5,6,5,2,5,5,5,5,6,6,6,5,6,1,2,3,1,4,1,,4,"1,3",2,0,1
2026-08-19 07:52:24,2026-08-19 08:00:29,0,,100,485,1,2026-08-19 08:00:30,R_4XcHbsOiMDIQxMZ,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,11.293,18.468,18.472,2,,,,,,,,,,,,,1,2,1,1,1,1,1,1,2,1,1,4,2,2,3,1,2,5,2,4,3,5,4,5,3,5,5,4,5,2,5,5,6,7,6,7,7,1,1,1,2,1,1,3,3,,3,"1,3",1,0,0
2026-08-19 08:28:57,2026-08-19 08:33:57,0,,100,300,1,2026-08-19 08:33:58,R_4itkBOW2GLKhGxi,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,18.665,18.665,18.669,1,,,,,,,,,1,1,3,3,3,2,3,3,4,4,4,3,3,2,2,2,3,5,4,5,5,5,5,6,5,6,5,6,6,2,6,5,5,6,5,6,5,3,6,1,1,3,5,5,1,,4,"1,3",2,0,1
2026-08-19 09:08:36,2026-08-19 09:11:17,0,,100,160,1,2026-08-19 09:11:17,R_9BQwGY8t7vWwj4x,,,,,,,anonymous,VI,,FL_34,,1,1,1,,,,,,,,,11.1,35.293,35.3,3,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-08-19 09:14:13,2026-08-19 09:19:23,0,,100,309,1,2026-08-19 09:19:24,R_9rTw9LL8WbDVBdB,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,16.607,16.607,16.612,1,2,1,6,6,7,6,7,6,6,6,6,7,4,4,4,5,4,5,6,6,6,5,6,6,6,6,7,6,5,2,7,7,7,6,6,6,6,7,7,1,2,3,1,3,1,,4,1,4,1,1
2026-08-19 09:14:11,2026-08-19 09:23:49,0,,100,577,1,2026-08-19 09:23:49,R_9Ka17k3Lg0Py0nq,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,38.001,57.132000000000005,57.15,5,2,1,5,7,7,5,7,7,4,4,5,5,4,4,3,2,1,5,4,4,2,4,4,7,5,5,5,7,5,2,4,3,6,7,5,7,7,5,7,1,2,1,2,5,1,,4,1,4,1,1
2026-08-19 09:18:48,2026-08-19 09:34:17,0,,100,928,1,2026-08-19 09:34:17,R_9dSsFLLjyR8tjRX,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,738.286,738.922,738.933,2,,,,,,,,,1,1,5,6,6,5,4,6,4,6,6,5,6,5,4,4,5,5,6,6,5,6,5,6,6,5,5,5,6,2,7,5,6,6,7,7,6,6,6,1,1,3,1,3,1,,3,1,2,0,1
2026-08-19 09:29:48,2026-08-19 09:35:28,0,,100,340,1,2026-08-19 09:35:29,R_95L74Uj1nuy6bPt,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,61.802,61.802,61.809,1,,,,,,,,,,,,,1,2,4,5,5,5,4,4,6,6,5,6,3,3,3,2,3,5,5,6,6,6,5,7,7,7,5,6,6,2,5,6,7,5,5,4,7,5,6,1,2,1,1,3,1,,3,"1,2",1,0,0
2026-08-19 10:59:52,2026-08-19 11:01:37,0,,100,104,1,2026-08-19 11:01:38,R_4MieXd58Ig7FCSu,,,,,,,anonymous,VI,,FL_36,,1,1,1,,,,,,,,,34.273,34.273,34.281,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-08-19 11:07:49,2026-08-19 11:09:01,0,,100,71,1,2026-08-19 11:09:01,R_4CmzLrDqiBPRIv7,,,,,,,anonymous,VI,,FL_34,,1,1,1,,,,,,,,,,,,,21.604,21.604,21.608,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1
2026-08-19 11:01:57,2026-08-19 11:10:37,0,,100,519,1,2026-08-19 11:10:38,R_4euMkOV2zGDbAD7,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,57.884,57.884,57.891,1,,,,,,,,,,,,,1,2,5,6,6,6,6,6,6,6,6,6,3,3,4,5,3,5,5,4,3,5,5,5,5,7,5,6,5,2,6,6,6,6,6,6,6,6,2,1,2,3,2,4,1,,4,"1,3",1,0,0
2026-08-19 11:12:48,2026-08-19 11:19:32,0,,100,403,1,2026-08-19 11:19:32,R_4FJ491TtgfNhxHK,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,26.05,26.05,26.059,1,,,,,,,,,1,1,7,7,7,1,1,6,6,6,6,7,2,2,2,1,1,5,6,6,6,6,6,6,6,6,6,6,6,2,6,7,6,6,6,5,6,5,2,1,2,3,1,2,1,,4,1,2,0,1
2026-08-19 11:23:08,2026-08-19 11:25:49,0,,100,161,1,2026-08-19 11:25:51,R_400IlzdT4dcSlax,,,,,,,anonymous,VI,,FL_36,,1,1,1,,,,,,,,,10.015,19.429,19.44,3,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-08-19 11:26:52,2026-08-19 11:27:34,0,,100,41,1,2026-08-19 11:27:34,R_4Bu1JqrNjuuGyFh,,,,,,,anonymous,VI,,FL_36,,1,1,1,,,,,,,,,16.729,16.729,16.739,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-08-19 11:27:42,2026-08-19 11:33:08,0,,100,326,1,2026-08-19 11:33:09,R_9q4JAAaSHM58vPH,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,18.73,18.73,18.745,1,,,,,,,,,,,,,1,2,7,7,7,7,7,7,7,7,7,7,3,3,3,1,3,5,5,4,4,4,4,5,5,5,5,5,5,2,5,5,5,7,7,7,7,6,7,1,2,3,1,3,1,,4,"1,2,3",1,0,0
2026-08-19 17:56:29,2026-08-19 18:04:35,0,,100,485,1,2026-08-19 18:04:35,R_96mfupbi9hyQ8Dz,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,4.861,56.029,56.031000000000006,25,2,1,6,7,7,7,6,6,7,7,7,6,2,2,2,4,5,5,6,6,4,6,5,6,4,6,6,6,5,2,7,7,6,7,6,7,7,6,6,1,1,3,2,5,1,,3,"1,3",4,1,1
2026-08-19 21:18:32,2026-08-19 21:19:39,0,,100,66,1,2026-08-19 21:19:40,R_945XImlN1iqtD3j,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-19 21:23:14,2026-08-19 21:24:42,0,,100,87,1,2026-08-19 21:24:42,R_9jT92UqTxgGF4el,,,,,,,anonymous,VI,,FL_32,,1,1,1,,,,,30.884,30.884,30.895,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1
2026-08-19 20:42:56,2026-08-19 21:39:26,0,,100,3389,1,2026-08-19 21:39:26,R_4v1gUyIg3eP9tZq,,,,,,,anonymous,VI,,FL_16,,1,1,1,,,,,,,,,7.792,17.208,17.213,2,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-08-19 21:39:46,2026-08-19 21:40:30,0,,100,43,1,2026-08-19 21:40:31,R_4nUqSydWmAC3kgF,,,,,,,anonymous,VI,,FL_34,,1,1,1,,,,,,,,,,,,,16.34,16.34,16.344,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1
2026-08-19 21:41:31,2026-08-19 21:42:04,0,,100,32,1,2026-08-19 21:42:05,R_4uJNQDSiXUHtUAI,,,,,,,anonymous,VI,,FL_36,,1,1,1,15.602,15.602,15.605,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
