ResponseId,CELL,AIP_COND,DISC_COND,CONSENT,SCR_AGE,SCR1,CC1,CC2,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,REL1,REL2,REL3,REL4,INT1,INT2,INT3,INT4,INT5,TRU1,TRU2,TRU3,TRU4,TRU5,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,PI1,PI2,PI3,PDPL1,PDPL2,PDPL3,PDPL4,ATT1,ATT2,MC_AIP,MC_DISC,VIG_TIME_First Click,VIG_TIME_Last Click,VIG_TIME_Page Submit,VIG_TIME_Click Count,Duration (in seconds),AGE_BAND,GEN,EDU,INC,FREQ,PLAT,PRIOR,CHAN,CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_STORE,CHAN_SOC,flag_cell_mismatch,flag_straightliner,flag_cc1_wrong,flag_cc2_wrong
R_2_0014,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,1,4,4,5,3,3,4.0,5,4,5,5,2,2,3.0,3,2,6,5,6,5,7,3,3.0,3,3,2,4,4,3,3,4,3,4,5,5,2,2,5,0.9,1.0,1.1,5,412,25 - 34,Nu,Trung cap - Cao dang,Duoi 5 trieu,Nhieu lan moi tuan,Shopee,Tu 1 den 3 nam,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,False,False
R_2_0015,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,2,4,4,5,3,5,5.0,4,5,5,4,4,6,,5,4,4,4,5,5,4,4,2.0,4,3,3,3,4,2,3,6,5,4,3,5,2,1,4,7.9,8.3,8.5,1,558,25 - 34,Nu,Dai hoc,Tren 10 - 20 trieu,Nhieu lan moi tuan,Shopee,Tu 1 den 3 nam,"CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_SOC",True,True,True,False,True,False,False,False,False
R_2_0016,4,1,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,1,6,5,6,6,5,6.0,3,4,5,4,5,5,7.0,5,4,4,4,3,4,4,2,4.0,3,2,3,4,2,3,1,7,6,4,6,5,2,6,7,6.0,7.3,7.3,5,340,25 - 34,Nam,Dai hoc,5 - 10 trieu,Vai lan moi nam,Shopee,Duoi 6 thang,CHAN_APP,True,False,False,False,False,False,False,False,False
R_2_0017,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,2,3,3,5,4,7,3.0,4,6,6,4,3,5,2.0,1,1,4,5,6,6,6,4,4.0,4,4,4,4,3,1,2,5,4,5,4,5,2,5,4,1.8,2.0,2.7,5,555,18 - 24,Nam,Dai hoc,Tren 40 trieu,Nhieu lan moi tuan,TikTok Shop,Tu 6 den 12 thang,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,False,False
R_2_0018,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,1,5,4,4,4,7,6.0,3,5,4,3,2,1,3.0,3,1,2,3,2,4,5,4,,3,4,4,4,2,3,2,4,6,4,6,5,2,4,4,14.9,18.7,19.0,5,689,25 - 34,Nam,Dai hoc,Tren 20 - 40 trieu,Khoang moi thang,Tiki,Tu 1 den 3 nam,"CHAN_WEB,CHAN_STORE",False,True,False,True,False,False,False,False,False
R_2_0019,1,0,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,2,1,1,2,1,1,,5,3,3,5,3,2,1.0,3,3,6,6,5,5,6,5,5.0,5,6,6,5,4,3,4,7,4,7,5,5,2,2,4,0.5,2.4,4.1,7,553,25 - 34,Nam,Trung cap - Cao dang,5 - 10 trieu,Nhieu lan moi tuan,Lazada,Tren 3 nam,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,False,False
R_2_0020,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",3,1,4,4,4,5,6,,4,4,4,3,4,3,4.0,3,5,3,2,4,3,5,3,2.0,2,3,3,3,6,4,4,6,7,6,5,5,2,5,6,0.3,1.0,1.1,7,292,45 - 54,Khac,Sau dai hoc,Tren 20 - 40 trieu,Nhieu lan moi tuan,Lazada,Tu 6 den 12 thang,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,True,False
R_2_0021,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,2,4,7,7,5,5,6.0,4,4,4,2,5,4,5.0,6,4,5,5,6,6,5,4,3.0,3,3,4,4,4,2,2,6,5,6,5,5,2,3,4,0.9,4.2,4.4,3,463,55 tro len,Nam,Dai hoc,Tren 20 - 40 trieu,Khoang moi tuan,Tiki,Duoi 6 thang,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,False,False
R_2_0022,4,1,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",3,1,5,5,4,3,4,4.0,5,7,5,5,2,3,3.0,2,3,6,6,6,6,7,5,4.0,5,6,5,6,4,4,6,5,6,5,3,5,2,3,7,0.6,2.6,3.1,6,410,45 - 54,Nu,Dai hoc,Tren 10 - 20 trieu,Vai lan moi nam,Shopee,Tren 3 nam,"CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_SOC",True,True,True,False,True,False,False,True,False
R_2_0023,4,1,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",3,1,6,4,7,6,6,5.0,5,5,4,6,3,2,3.0,2,3,7,7,5,5,5,5,3.0,5,4,5,5,3,4,4,5,4,2,4,5,2,5,5,0.5,5.6,5.8,1,476,18 - 24,Nam,Sau dai hoc,Tren 20 - 40 trieu,Vai lan moi nam,TikTok Shop,Duoi 6 thang,CHAN_APP,True,False,False,False,False,False,False,True,False
R_2_0024,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,1,4,4,4,5,3,4.0,3,4,5,6,4,4,5.0,5,4,4,3,4,3,3,3,2.0,3,1,2,3,3,5,4,4,3,3,3,5,2,4,5,1.8,5.5,6.2,3,494,18 - 24,Nu,Trung cap - Cao dang,5 - 10 trieu,Khoang moi thang,Shopee,Tu 6 den 12 thang,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,False,False
R_2_0025,4,1,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,1,6,7,4,5,6,5.0,5,4,3,4,4,5,4.0,4,5,4,3,5,4,5,5,5.0,4,4,4,5,5,4,5,5,4,4,6,5,2,6,4,2.9,3.9,4.6,1,515,18 - 24,Nam,Trung cap - Cao dang,Tren 20 - 40 trieu,Nhieu lan moi tuan,Shopee,Tren 3 nam,"CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_SOC",True,True,True,False,True,False,False,False,False
R_2_0026,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,1,6,7,4,6,4,5.0,4,4,4,4,4,5,,4,3,3,5,4,3,4,4,5.0,5,5,3,3,6,6,6,4,5,5,5,5,2,6,5,0.4,3.9,4.0,6,471,55 tro len,Nam,Dai hoc,5 - 10 trieu,Khoang moi thang,Lazada,Tu 6 den 12 thang,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,False,False
R_2_0027,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,2,3,6,4,5,5,5.0,3,5,5,5,4,4,4.0,4,2,5,6,4,6,5,6,4.0,5,5,5,5,3,5,3,3,4,3,3,5,2,5,5,1.3,1.8,5.2,1,557,18 - 24,Nu,Dai hoc,Duoi 5 trieu,Khoang moi thang,TikTok Shop,Tu 1 den 3 nam,CHAN_APP,True,False,False,False,False,False,False,False,False
R_2_0029,1,0,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,2,5,4,4,5,3,5.0,5,4,4,4,2,4,1.0,2,2,6,5,6,7,6,7,6.0,6,7,6,7,5,6,7,6,5,7,4,5,2,4,4,1.2,1.7999999999999998,2.6,6,249,18 - 24,Nu,Dai hoc,Tren 10 - 20 trieu,Nhieu lan moi tuan,Lazada,Duoi 6 thang,"CHAN_WEB,CHAN_STORE",False,True,False,True,False,False,False,False,False
R_2_0030,1,0,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,2,3,4,2,4,4,2.0,4,5,4,4,4,2,2.0,2,4,6,6,5,4,5,6,6.0,6,6,6,5,6,5,4,4,4,5,4,5,2,2,3,1.4,3.7,5.1,5,347,25 - 34,Nu,Dai hoc,Tren 40 trieu,Khoang moi thang,TikTok Shop,Tu 1 den 3 nam,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,False,False
R_2_0031,4,1,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",3,1,5,4,6,4,4,3.0,5,5,4,3,2,3,1.0,4,4,3,4,4,4,4,3,4.0,5,4,5,4,5,5,4,4,3,4,5,5,2,3,4,0.2,4.4,4.6000000000000005,4,313,18 - 24,Nu,Trung cap - Cao dang,Tren 20 - 40 trieu,Khoang moi thang,Shopee,Duoi 6 thang,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,True,False
R_2_0032,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,2,6,4,6,3,4,5.0,4,5,4,4,5,3,,5,3,4,5,4,4,5,7,6.0,7,6,6,6,5,7,6,2,4,3,4,5,2,4,5,6.3,6.7,8.6,1,462,35 - 44,Nam,Dai hoc,5 - 10 trieu,Vai lan moi nam,Shopee,Duoi 6 thang,"CHAN_WEB,CHAN_STORE",False,True,False,True,False,False,False,False,False
R_2_0033,4,1,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,1,3,4,2,4,4,4.0,4,4,5,4,4,3,4.0,4,3,6,2,4,4,4,3,3.0,2,4,3,4,3,3,3,5,4,5,6,5,2,1,5,1.1,3.0,3.5,7,534,25 - 34,Nu,Sau dai hoc,Duoi 5 trieu,Khoang moi thang,Lazada,Duoi 6 thang,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,False,False
R_2_0034,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,2,5,7,6,7,6,7.0,5,6,5,4,6,6,6.0,7,6,5,4,5,5,6,4,6.0,5,5,4,3,4,3,4,4,3,3,2,5,2,6,6,3.9,4.8,5.9,1,451,45 - 54,Nu,Trung cap - Cao dang,5 - 10 trieu,Vai lan moi nam,Lazada,Tu 6 den 12 thang,"CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_SOC",True,True,True,False,True,False,False,False,False
R_2_0035,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,1,5,5,6,6,6,4.0,4,4,4,5,5,4,4.0,4,5,4,4,4,3,4,4,2.0,3,5,4,3,2,2,2,4,4,4,5,5,2,6,6,1.7,3.4,3.6,1,392,35 - 44,Nam,Dai hoc,Tren 10 - 20 trieu,Khoang moi thang,TikTok Shop,Tu 6 den 12 thang,"CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_SOC",True,True,True,False,True,False,False,False,False
R_2_0036,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,2,4,4,4,5,4,4.0,5,3,3,4,5,5,4.0,4,3,3,4,2,3,3,4,3.0,4,4,4,3,4,3,3,7,7,5,6,5,2,4,3,0.6,10.3,11.1,4,455,18 - 24,Nam,Sau dai hoc,Tren 20 - 40 trieu,Khoang moi tuan,Lazada,Tu 6 den 12 thang,"CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_SOC",True,True,True,False,True,False,False,False,False
R_2_0037,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,2,6,7,6,7,3,,5,5,6,5,6,5,6.0,6,6,4,4,5,4,4,3,4.0,4,2,3,3,4,5,7,5,3,3,6,5,2,5,2,0.7,3.7,5.5,4,437,18 - 24,Nam,Trung cap - Cao dang,Tren 10 - 20 trieu,Khoang moi tuan,Tiki,Tu 6 den 12 thang,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,False,False
R_2_0038,4,1,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,1,4,3,4,3,1,2.0,1,1,3,2,3,4,3.0,3,3,3,3,3,3,1,5,3.0,2,4,2,4,3,3,5,4,5,4,2,5,2,1,5,3.1,4.1,4.199999999999999,2,601,25 - 34,Nu,Dai hoc,Duoi 5 trieu,Khoang moi thang,Shopee,Tren 3 nam,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,False,False
R_2_0039,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,1,4,3,4,4,2,3.0,4,5,5,4,3,4,3.0,2,3,4,4,6,5,5,3,5.0,4,4,4,4,5,5,5,3,3,3,5,5,2,4,6,5.7,5.8,6.4,1,376,18 - 24,Nam,Trung cap - Cao dang,Tren 40 trieu,Nhieu lan moi tuan,Lazada,Tu 1 den 3 nam,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,False,False
R_2_0040,4,1,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,1,4,5,4,6,4,5.0,3,5,5,4,4,3,2.0,2,4,3,3,3,3,2,4,2.0,3,3,2,3,3,1,2,4,4,4,4,5,2,4,4,0.0,2.2,3.1,7,511,25 - 34,Nam,Trung cap - Cao dang,Tren 10 - 20 trieu,Khoang moi tuan,Shopee,Tren 3 nam,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,False,False
R_2_0041,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,2,6,5,7,6,6,7.0,6,5,5,5,5,5,6.0,6,4,6,5,6,5,7,6,5.0,6,6,6,5,4,5,6,1,3,3,3,5,2,5,5,8.5,11.2,11.4,1,475,18 - 24,Nu,Trung cap - Cao dang,Tren 10 - 20 trieu,Khoang moi thang,Shopee,Tu 6 den 12 thang,CHAN_APP,True,False,False,False,False,False,False,False,False
R_2_0042,4,1,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,1,5,6,5,6,4,5.0,4,4,4,5,5,4,4.0,3,5,4,3,4,6,6,4,4.0,4,5,4,6,6,4,6,3,4,3,1,5,2,5,6,1.9,14.0,15.5,5,702,45 - 54,Nu,Dai hoc,Tren 20 - 40 trieu,Vai lan moi nam,TikTok Shop,Tu 6 den 12 thang,"CHAN_APP,CHAN_WEB,CHAN_LIVE,CHAN_SOC",True,True,True,False,True,False,False,False,False
R_2_0043,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",3,1,4,4,6,3,4,5.0,3,4,5,5,3,4,3.0,3,2,3,2,3,3,2,4,3.0,4,4,6,4,3,4,5,4,4,4,5,5,2,4,7,0.5,5.1,5.4,6,582,55 tro len,Nu,Dai hoc,Tren 40 trieu,Khoang moi thang,Shopee,Tu 6 den 12 thang,"CHAN_WEB,CHAN_STORE",False,True,False,True,False,False,False,True,False
R_2_0045,2,0,1,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,1,3,4,3,6,3,4.0,3,4,3,4,5,4,4.0,5,4,5,3,1,2,3,4,3.0,3,2,4,5,2,3,4,4,4,2,7,5,2,6,6,2.9,4.8,5.2,5,445,25 - 34,Nu,Dai hoc,Tren 20 - 40 trieu,Vai lan moi nam,TikTok Shop,Tu 1 den 3 nam,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,False,False
R_2_0046,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",2,2,6,7,6,7,7,7.0,5,5,5,4,6,4,6.0,5,5,5,4,4,4,4,4,5.0,5,3,4,3,3,2,3,7,5,5,5,5,2,4,3,3.0,3.2,3.5,4,376,35 - 44,Nam,Dai hoc,Tren 10 - 20 trieu,Vai lan moi nam,Shopee,Tren 3 nam,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,False,False
R_2_0047,1,0,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",3,2,3,3,4,4,3,2.0,3,3,3,2,6,4,5.0,2,6,4,5,6,3,4,3,4.0,4,4,2,4,2,3,4,3,4,4,4,5,2,3,5,0.0,2.8,2.8,7,555,55 tro len,Nu,Trung cap - Cao dang,Tren 20 - 40 trieu,Khoang moi thang,Shopee,Duoi 6 thang,"CHAN_APP,CHAN_LIVE",True,False,True,False,False,False,False,True,False
R_2_0048,1,0,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,2,3,2,3,4,3,2.0,4,4,6,3,3,5,2.0,4,4,4,4,4,3,4,5,5.0,5,4,6,5,3,4,2,4,3,3,3,5,2,2,4,3.6,7.4,7.7,7,525,25 - 34,Nam,THPT tro xuong,Tren 10 - 20 trieu,Vai lan moi nam,Shopee,Duoi 6 thang,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,False,False
R_2_0049,1,0,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",1,2,5,3,4,5,4,3.0,4,5,5,4,5,4,3.0,5,4,4,2,4,2,1,2,1.0,2,4,5,2,4,4,4,3,4,4,7,5,2,2,3,3.6,13.0,16.1,5,612,35 - 44,Nam,Sau dai hoc,Tren 20 - 40 trieu,Khoang moi tuan,Shopee,Tu 6 den 12 thang,CHAN_APP,True,False,False,False,False,False,False,False,False
R_2_0050,3,1,0,"Tôi đồng ý tham gia
I agree to participate","Có, tôi đã từ 18 tuổi trở lên
Yes, I am 18 or older","Có
Yes",3,2,6,5,5,7,6,6.0,4,6,4,4,4,5,3.0,3,3,7,6,7,7,6,4,5.0,4,5,5,5,5,5,5,5,4,4,4,5,2,6,4,5.2,7.300000000000001,7.6,7,542,18 - 24,Khac,Dai hoc,5 - 10 trieu,Khoang moi thang,TikTok Shop,Tu 1 den 3 nam,"CHAN_APP,CHAN_WEB",True,True,False,False,False,False,False,True,False
